,0
1668,"title:Optimization of solid state anaerobic digestion of the OFMSW by digestate recirculation: A new approach,abstract:Waste Management, 35 (2015) 111-118. doi:10.1016/j.wasman.2014.09.009"
1669,"title:Optimization of the specific methanogenic activity during the anaerobic co-digestion of pig manure and rice straw, using industrial clay residues as inorganic additive,abstract:CHEMICAL ENGINEERING JOURNAL, 259 (2015) 703-714. doi:10.1016/j.cej.2014.08.031"
1670,"title:Optimization of thermally activated persulfate pretreatment of corn straw and its effect on anaerobic digestion performance and stability,abstract:Biomass and Bioenergy, 154 (2021) 106216. doi:10.1016/j.biombioe.2021.106216"
1671,"title:Optimization of thermally activated persulfate pretreatment of corn straw and its effect on anaerobic digestion performance and stability,abstract:Biomass and Bioenergy, 154 (2021) 106216. doi:10.1016/j.biombioe.2021.106216"
1672,"title:Optimized production conditions and activation of biochar for effective promotion of long-chain fatty acid degradation in anaerobic digestion,abstract:Bioresource Technology, 358 (2022) 127393. doi:10.1016/j.biortech.2022.127393"
1673,"title:Optimizing Anaerobic Digestion at Ambient Temperatures: Energy Efficiency and Cost Reduction Potential in Panama,abstract:Anaerobic digestion (AD) is usually carried out at mesophilic temperatures (25–45 C) in most countries, whether in temperate or tropical climates, which results in the need for heat injection and consequently increases costs. In this regard, batch AD tests were conducted at 25, 28, and 35 C, with 25 C being the lowest ambient temperature in Panama, using thickened secondary sludge (TSS) and digested secondary sludge (DSS) from the Juan Diaz wastewater treatment plant (WWTP) to determine the Biochemical Methane Potential (BMP). The AD study generated maximum mean BMP values of 163 mL CH4/g VS for DSS and 289.72 mL CH4/g VS for codigestion at 25 C. The BMP value of DSS at 25 C showed that it can still be used for energy generation, using the lowest ambient temperature recorded in Panama City. Likewise, trials at 25 C showed a 43.48% reduction in the electrical energy produced compared to that generated at 38 C in WWTP. This results in a reduction in energy, as the use of heat could be omitted and the energy costs required for the process are covered. In this regard, the novelty of this work lies in its investigation of anaerobic digestion at ambient temperatures, which represents a departure from conventional practices that typically require higher temperatures. By exploring the feasibility of anaerobic digestion within the temperature range of 25–35 C, this study offers a novel approach to optimizing energy efficiency and reducing costs associated with elevated temperatures."
1674,"title:Optimizing low-temperature biogas production from biomass by anaerobic digestion,abstract:Renewable Energy, 69 (2014) 219-225. doi:10.1016/j.renene.2014.03.039"
1675,"title:Optimizing low-temperature biogas production from biomass by anaerobic digestion,abstract:Renewable Energy, 69 (2014) 219-225. doi:10.1016/j.renene.2014.03.039"
1676,"title:Optimizing low-temperature biogas production from biomass by anaerobic digestion,abstract:Renewable Energy, 69 (2014) 219-225. doi:10.1016/j.renene.2014.03.039"
1677,"title:Option of treatment scenario for food waste anaerobic digestion by-products based on comprehensive evaluation and scenario promotion benefits analysis,abstract:Journal of Cleaner Production, 374 (2022) 133861. doi:10.1016/j.jclepro.2022.133861"
1678,"title:Option of treatment scenario for food waste anaerobic digestion by-products based on comprehensive evaluation and scenario promotion benefits analysis,abstract:Journal of Cleaner Production, 374 (2022) 133861. doi:10.1016/j.jclepro.2022.133861"
1679,"title:Organic loading rate: A promising microbial management tool in anaerobic digestion,abstract:Water Research, 100 (2016) 348-356. doi:10.1016/j.watres.2016.05.009"
1680,"title:Organic loading rate: A promising microbial management tool in anaerobic digestion,abstract:Water Research, 100 (2016) 348-356. doi:10.1016/j.watres.2016.05.009"
1681,"title:Organic overloading affects the microbial interactions during anaerobic digestion in sewage sludge reactors,abstract:Chemosphere, 222 (2019) 323-332. doi:10.1016/j.chemosphere.2019.01.124"
1682,"title:Over-acidification control strategies for enhanced biogas production from anaerobic digestion: A review,abstract:Biomass and Bioenergy, 143 (2020) 105833. doi:10.1016/j.biombioe.2020.105833"
1683,"title:Overcoming organic and nitrogen overload in thermophilic anaerobic digestion of pig slurry by coupling a microbial electrolysis cell,abstract:Bioresource Technology, 216 (2016) 362-372. doi:10.1016/j.biortech.2016.05.085"
1684,"title:Overcoming organic and nitrogen overload in thermophilic anaerobic digestion of pig slurry by coupling a microbial electrolysis cell,abstract:Bioresource Technology, 216 (2016) 362-372. doi:10.1016/j.biortech.2016.05.085"
1685,"title:Overview of pretreatment strategies for enhancing sewage sludge disintegration and subsequent anaerobic digestion_ Current advances, full-scale application and future perspectives,abstract:Renewable and Sustainable Energy Reviews, 69 + (2017) 559-577. doi:10.1016/j.rser.2016.11.187"
1686,"title:Oxidation reduction potential as a parameter to regulate micro-oxygen injection into anaerobic digester for reducing hydrogen sulphide concentration in biogas,abstract:Bioresource Technology, 173 (2014) 443-447. doi:10.1016/j.biortech.2014.09.052"
1687,"title:Oxidation reduction potential as a parameter to regulate micro-oxygen injection into anaerobic digester for reducing hydrogen sulphide concentration in biogas,abstract:Bioresource Technology, 173 (2014) 443-447. doi:10.1016/j.biortech.2014.09.052"
1688,"title:Particle size reduction of rice straw enhances methane production under anaerobic digestion,abstract:Bioresource Technology, 293 (2020) 122043. doi:10.1016/j.biortech.2019.122043"
1689,"title:Passivation mechanism of Cu and Zn with the introduction of composite passivators during anaerobic digestion of pig manure,abstract:Bioresource Technology, 369 (2023) 128360. doi:10.1016/j.biortech.2022.128360"
1690,"title:Passivation mechanism of Cu and Zn with the introduction of composite passivators during anaerobic digestion of pig manure,abstract:Bioresource Technology, 369 (2023) 128360. doi:10.1016/j.biortech.2022.128360"
1691,"title:Pathways in bacterial and archaeal communities dictated by ammonium stress in a high solid anaerobic digester with dewatered sludge,abstract:Bioresource Technology, 241 (2017) 95-102. doi:10.1016/j.biortech.2017.05.094"
1692,"title:Perfluorooctanoic acid triggers oxidative stress in anaerobic digestion of sewage sludge,abstract:Journal of Hazardous Materials, 424 (2022) 127418. doi:10.1016/j.jhazmat.2021.127418"
1693,"title:Performance and energy aspects of single and two phase thermophilic anaerobic digestion of waste activated sludge,abstract:Renewable Energy, 86 (2016) 1324-1331. doi:10.1016/j.renene.2015.09.069"
1694,"title:Performance and energy aspects of single and two phase thermophilic anaerobic digestion of waste activated sludge,abstract:Renewable Energy, 86 (2016) 1324-1331. doi:10.1016/j.renene.2015.09.069"
1695,"title:Performance and kinetic evaluation of a semi-continuously fed anaerobic digester treating food waste: Effect of trace elements on the digester recovery and stability,abstract:CHEMOSPHERE, 117 (2014) 477-485. doi:10.1016/j.chemosphere.2014.08.060"
1696,"title:Performance and kinetic evaluation of semi-continuously fed anaerobic digesters treating food waste: Role of trace elements,abstract:Bioresource Technology, 178 (2015) 297-305. doi:10.1016/j.biortech.2014.08.046"
1697,"title:Performance and kinetic evaluation of semi-continuously fed anaerobic digesters treating food waste: Role of trace elements,abstract:Bioresource Technology, 178 (2015) 297-305. doi:10.1016/j.biortech.2014.08.046"
1698,"title:Performance and kinetic study of semi-dry thermophilic anaerobic digestion of organic fraction of municipal solid waste,abstract:Waste Management, 36 (2015) 93-97. doi:10.1016/j.wasman.2014.09.024"
1699,"title:Performance and kinetic study of semi-dry thermophilic anaerobic digestion of organic fraction of municipal solid waste,abstract:Waste Management, 36 (2015) 93-97. doi:10.1016/j.wasman.2014.09.024"
1700,"title:Performance and microbial community variations in thermophilic anaerobic digesters treating OTC medicated cow manure under different operational conditions,abstract:BIORESOURCE TECHNOLOGY, 205 (2016) 191-198. doi:10.1016/j.biortech.2016.01.071"
1701,"title:Performance assessment and metagenomic analysis of full-scale innovative two-stage anaerobic digestion biogas plant for food wastes treatment,abstract:Journal of Cleaner Production, 264 (2020) 121646. doi:10.1016/j.jclepro.2020.121646"
1702,"title:Performance of Anaerobic Digestion of Acidified Palm Oil Mill Effluent under Various Organic Loading Rates and Temperatures,abstract:This study compared the performance of thermophilic and mesophilic digesters of an anaerobic digestion system from palm oil mill effluent (POME), in which temperature is a key parameter that can greatly affect the performance of anaerobic digestion. The digesters were incubated at two distinct temperatures of 55 and 37 C, and operated with varying organic loading rates (OLRs) of 2.4, 3.2, and 4.0 g COD/L.d by altering the chemical oxygen demand (COD) of acidified POME during feeding. The results indicated that the performance of anaerobic digestion increased as the OLR increased from 2.4 to 4.0 g COD/L.d. At the OLR of 4.0 g COD/L.d, the thermophilic condition showed the highest methane yield of 0.31  0.01 L/g COD, accompanied by the highest COD removal and volatile solid reduction, which were found to be higher than the mesophilic condition. Microbial community analysis via denaturing gradient gel electrophoresis (DGGE) revealed that Methanothermobacter sp. emerges as the dominant microbe, which is known to utilize the carbon dioxide pathway with hydrogen acting as an electron donor for methane formation"
1703,"title:Performance of direct anaerobic digestion of dewatered sludge in long-term operation,abstract:Bioresource Technology, 250 (2018) 355-364. doi:10.1016/j.biortech.2017.11.075"
1704,"title:Performance of two-stage vegetable waste anaerobic digestion depending on varying recirculation rates,abstract:BIORESOURCE TECHNOLOGY, 162 (2014) 266-272. doi:10.1016/j.biortech.2014.03.156"
1705,"title:Persistence of Methanosaeta populations in anaerobic digestion during process instability,abstract:Journal of Industrial Microbiology & Biotechnology, doi:10.1007/s10295-015-1632-7"
1706,"title:Perspective on anaerobic digestion for biomethanation in cold environments,abstract:Renewable and Sustainable Energy Reviews, 103 (2019) 85-95. doi:10.1016/j.rser.2018.12.034"
1707,"title:Perspectives for microbial community composition in anaerobic digestion: from abundance and activity to connectivity,abstract:Environmental Microbiology 2016.18:2797-2809"
1708,"title:Perspectives of optical colourimetric sensors for anaerobic digestion,abstract:Renewable and Sustainable Energy Reviews, 111 (2019) 87-96. doi:10.1016/j.rser.2019.04.083"
1709,"title:Perspectives on microbial community in anaerobic digestion with emphasis on environmental parameters: A systematic review,abstract:Chemosphere, 270 (2021) 128618. doi:10.1016/j.chemosphere.2020.128618"
1710,"title:Phase separated pretreatment strategies for enhanced waste activated sludge disintegration in anaerobic digestion: An outlook and recent trends,abstract:Bioresource Technology, 363 (2022) 127985. doi:10.1016/j.biortech.2022.127985"
1711,"title:Phase separation and microbial distribution in the hyperthermophilic-mesophilic-type temperature-phased anaerobic digestion (TPAD) of waste activated sludge (WAS),abstract:Bioresource Technology, 245 (2018) 401-410. doi:10.1016/j.biortech.2017.08.124"
1712,"title:Phosphorus Uptake by Potato from Fertilizers Recovered from Anaerobic Digestion,abstract:Agronomy Journal 2016.108:2036-2049"
1713,"title:Photon number based anaerobic digestion process for efficient bio-methane conversion from ammonium-rich feedstock: Performance evaluation and practical potential,abstract:Energy Conversion and Management, 238 (2021) 114155. doi:10.1016/j.enconman.2021.114155"
1714,"title:Photon number based anaerobic digestion process for efficient bio-methane conversion from ammonium-rich feedstock: Performance evaluation and practical potential,abstract:Energy Conversion and Management, 238 (2021) 114155. doi:10.1016/j.enconman.2021.114155"
1715,"title:Photosynthesis assisted anaerobic digestion of cattle manure leachate in a hybrid bioreactor_ An integrated system for enhanced wastewater treatment and methane production,abstract:Chemical Engineering Journal, 330 (2017) 616-624. doi:10.1016/j.cej.2017.08.001"
1716,"title:Photosynthetic membrane-less microbial fuel cells to enhance microalgal biomass concentration,abstract:Bioresource Technology, 218 (2016) 1016-1020. doi:10.1016/j.biortech.2016.07.062"
1717,"title:Phycoremediation coupled production of algal biomass, harvesting and anaerobic digestion: Possibilities and challenges,abstract:Biotechnology Advances, 31 (2013) 1408-1425. doi:10.1016/j.biotechadv.2013.06.005"
1718,"title:Physico-chemical and multielemental traits of anaerobic digestate from Mediterranean agro-industrial wastes and assessment as fertiliser for citrus nurseries,abstract:Waste Management, 131 (2021) 201-213. doi:10.1016/j.wasman.2021.06.007"
1719,"title:Physico-chemical and multielemental traits of anaerobic digestate from Mediterranean agro-industrial wastes and assessment as fertiliser for citrus nurseries,abstract:Waste Management, 131 (2021) 201-213. doi:10.1016/j.wasman.2021.06.007"
1720,"title:Physicochemical and microbiological monitoring of anaerobic digestion at laboratory and low cost tubular digester,abstract:Bioresource Technology, 274 (2018) 321-328. doi:10.1016/j.biortech.2018.11.091"
1721,"title:Pilot plant experience on anaerobic codigestion of source selected OFMSW and sewage sludge,abstract:Waste Management, 49 (2016) 47-54. doi:10.1016/j.wasman.2015.12.014"
1722,"title:Pilot scale evaluation of a model to distinguish the rates of simultaneous anaerobic digestion, composting and methane oxidation in static waste beds,abstract:Waste Management, 71 (2018) 156-163. doi:10.1016/j.wasman.2017.11.003"
1723,"title:Pilot scale fermentation coupled with anaerobic digestion of food waste - Effect of dynamic digestate recirculation,abstract:Renewable Energy, 114 (2017) 455-463. doi:10.1016/j.renene.2017.07.047"
1724,"title:Pilot-scale testing of a leachbed for anaerobic digestion of livestock residues on-farm,abstract:Waste Management, 50 (2016) 300-308. doi:10.1016/j.wasman.2016.02.031"
1725,"title:Plant-integrated measurement of greenhouse gas emissions from a municipal wastewater treatment plant,abstract:Water Research, 61 (2014) 108-118. doi:10.1016/j.watres.2014.05.014"
1726,"title:Plug-flow anaerobic digestion with multi-position sensors: The value of gradient measurement for process monitoring,abstract:Biomass and Bioenergy, 173 (2023) 106803. doi:10.1016/j.biombioe.2023.106803"
1727,"title:Policy incentives and adoption of agricultural anaerobic digestion: A survey of Europe and the United States,abstract:Renewable Energy, 97 (2016) 559-571. doi:10.1016/j.renene.2016.05.062"
1728,"title:Policy incentives and adoption of agricultural anaerobic digestion: A survey of Europe and the United States,abstract:Renewable Energy, 97 (2016) 559-571. doi:10.1016/j.renene.2016.05.062"
1729,"title:Polyamide 6 microplastics facilitate methane production during anaerobic digestion of waste activated sludge,abstract:Chemical Engineering Journal, 408 (2021) 127251. doi:10.1016/j.cej.2020.127251"
1730,"title:Polydimethyldiallylammonium chloride induces oxidative stress in anaerobic digestion of waste activated sludge,abstract:Bioresource Technology, 356 (2022) 127331. doi:10.1016/j.biortech.2022.127331"
1731,"title:Polydimethyldiallylammonium chloride induces oxidative stress in anaerobic digestion of waste activated sludge,abstract:Bioresource Technology, 356 (2022) 127331. doi:10.1016/j.biortech.2022.127331"
1732,"title:Possibilities for Anaerobic Digestion of Slaughter Waste and Flotates for Biomethane Production,abstract:Anaerobic digestion for biomethane production is an important tool regarding sustainable energy production. The objective of this study was to investigate the effects of the substrate composition and operating parameters on biomethane production during anaerobic digestion, focusing on the use of flotates and slaughterhouse waste as substrates with a high organic content. A novelty here was the use of a mbbr with circulation pump for the anaerobic treatment of flotates, sw, and their mixture. Flotates and waste from slaughterhouses offer a substrate with a high organic content. In this work, it was shown that both substrates provide a high bmp. The highest methane yield was achieved by mixing both substrates. In continuous operation, special challenges arose, due to the high nitrogen and fat content of the substrates. These could be overcome by mixing the substrates and using a circulation pump in the reactor for improved back-mixing. As a result, the highest average methane yield of 0.65 NLCH4gTS eli-1 was achieved in mesophilic operation at an olr of 4.2 gTSL-1d-1."
1733,"title:Post-hydrolysis versus side-stream ammonia stripping in semi-continuous two-stage anaerobic digestion of high nitrogen feedstock,abstract:Waste Management, 168 (2023) 74-82. doi:10.1016/j.wasman.2023.05.041"
1734,"title:Post-treatment options for anaerobically digested sludge: Current status and future prospect,abstract:Water Research, 205 (2021) 117665. doi:10.1016/j.watres.2021.117665"
1735,"title:Post-treatment options for anaerobically digested sludge: Current status and future prospect,abstract:Water Research, 205 (2021) 117665. doi:10.1016/j.watres.2021.117665"
1736,"title:Potassium ferrate coupled with freezing method enhances methane production from sludge anaerobic digestion,abstract:Bioresource Technology, 332 (2021) 125112. doi:10.1016/j.biortech.2021.125112"
1737,"title:Potassium permanganate pretreatment effectively improves methane production from anaerobic digestion of waste activated sludge: Reaction kinetics and mechanisms,abstract:Science of the Total Environment, 847 (2022) 157402. doi:10.1016/j.scitotenv.2022.157402"
1738,"title:Potassium permanganate pretreatment effectively improves methane production from anaerobic digestion of waste activated sludge: Reaction kinetics and mechanisms,abstract:Science of the Total Environment, 847 (2022) 157402. doi:10.1016/j.scitotenv.2022.157402"
1739,"title:Potential and optimization of two-phase anaerobic digestion of oil refinery waste activated sludge and microbial community study,abstract:srep ,  (2016). doi:10.1038/srep38245"
1740,"title:Potential application of anaerobic digestion to tobacco plant,abstract:Fuel, 113 (2013) 415-419. doi:10.1016/j.fuel.2013.06.006"
1741,"title:Potential Applications of Food-Waste-Based Anaerobic Digestate for Sustainable Crop Production Practice,abstract:The global food system is and will be facing many challenges in the coming decades, which will necessitate innovative solutions to address the issues of a diminishing fertilizer supply, an increasing food demand from growing populations, and frequent extreme climates due to greenhouse gas emissions. An advancement proposed is the synthesizing of fertilizer from food waste, here referred to as food waste anaerobic digestate (FWAD). This occurs through the process of anaerobic digestion, where organic matter such as food waste is contained in an anaerobic environment and allowed to be broken down by microorganisms. One of the resulting products is anaerobic digestate, which possesses the necessary nutrients for effective fertilization for crop production. In addition to reducing greenhouse gases and waste in landfills, the replacement of synthetic fertilizers with ones made from food waste would help to alleviate the impacts of the current fertilizer shortage being experienced worldwide, which will be exacerbated by a reducing supply of materials needed for synthetic fertilizer production. In this paper, we discuss the nutrient characteristics of FWAD, and recent studies utilizing FWAD in horticulture and crop production, to advance our understanding of the effectiveness and challenges of using FWAD as a fertilizer. By employing appropriate application methods, such as nitrification, dilution, and amendment, FWAD demonstrates considerable potential as an effective fertilizer for a wide range of leafy greens and some fruiting crops."
1742,"title:Potential for biogas production from the anaerobic digestion of chicken droppings in Morocco,abstract:International Journal of Recycling of Organic Waste in Agriculture, doi:10.1007/s40093-016-0128-4"
1743,"title:Potential impact of salinity on methane production from food waste anaerobic digestion,abstract:Waste Management, 67 (2017) 308-314. doi:10.1016/j.wasman.2017.05.016"
1744,"title:Potential impact of salinity on methane production from food waste anaerobic digestion,abstract:Waste Management, 67 (2017) 308-314. doi:10.1016/j.wasman.2017.05.016"
1745,"title:Potential influences of exogenous pollutants occurred in waste activated sludge on anaerobic digestion_ A review,abstract:Journal of Hazardous Materials, 383 (2019) 121176. doi:10.1016/j.jhazmat.2019.121176"
1746,"title:Potential of brown algae for sustainable electricity production through anaerobic digestion,abstract:Energy Conversion and Management, 135 (2017) 297-307. doi:10.1016/j.enconman.2016.12.084"
1747,"title:Potential of industrial composting and anaerobic digestion for the removal of antibiotics, antibiotic resistance genes and heavy metals from chicken manure,abstract:Science of the Total Environment, 718 (2020) 137414. doi:10.1016/j.scitotenv.2020.137414"
1748,"title:Potential use of anaerobically digested manure slurry to suppress Phytophthora root rot of chilli pepper,abstract:Scientia Horticulturae, 168 (2014) 124-131. doi:10.1016/j.scienta.2013.11.004"
1749,"title:Pre-recovery of fatty acid methyl ester (FAME) and anaerobic digestion as a biorefinery route to valorizing waste activated sludge,abstract:Renewable Energy, 108 (2017) 548-554. doi:10.1016/j.renene.2017.03.004"
1750,"title:Pre-treatment and anaerobic digestion of food waste for high rate methane production ⠍ A review,abstract:Biochemical Pharmacology, 2 (2014) 1821-1830. doi:10.1016/j.jece.2014.07.024"
1751,"title:Pre-treatment and anaerobic digestion of food waste for high rate methane production ⠍ A review,abstract:Biochemical Pharmacology, 2 (2014) 1821-1830. doi:10.1016/j.jece.2014.07.024"
1752,"title:Pre-treatment options for halophytic microalgae and associated methane production,abstract:Bioresource Technology, 177 (2015) 410-413. doi:10.1016/j.biortech.2014.11.114"
1753,"title:Pre-treatments to enhance biogas yield and quality from anaerobic digestion of whiskey distillery and brewery wastes_ A review,abstract:Renewable and Sustainable Energy Reviews, 113 (2019) 109281. doi:10.1016/j.rser.2019.109281"
1754,"title:Predicting the apparent viscosity and yield stress of mixtures of primary, secondary and anaerobically digested sewage sludge: Simulating anaerobic digesters,abstract:Water Research, 100 (2016) 568-579. doi:10.1016/j.watres.2016.05.045"
1755,"title:Predicting the methane yield of lignocellulosic biomass in mesophilic solid-state anaerobic digestion based on feedstock characteristics and process parameters,abstract:BIORESOURCE TECHNOLOGY, 173 (2014) 168-176. doi:10.1016/j.biortech.2014.09.090"
1756,"title:Prediction of biogas production of industrial scale anaerobic digestion plant by machine learning algorithms,abstract:Chemosphere, 335 (2023) 138976. doi:10.1016/j.chemosphere.2023.138976"
1757,"title:Prediction of organic matter accessibility and complexity in anaerobic digestates,abstract:Waste Management, 136 (2021) 132-142. doi:10.1016/j.wasman.2021.10.004"
1758,"title:Prediction of organic matter accessibility and complexity in anaerobic digestates,abstract:Waste Management, 136 (2021) 132-142. doi:10.1016/j.wasman.2021.10.004"
1759,"title:Preliminary evaluation of potential methane production from anaerobic digestion of beach-cast seagrass wrack: The case study of high-adriatic coast,abstract:Journal of Cleaner Production, 254 (2020) 120131. doi:10.1016/j.jclepro.2020.120131"
1760,"title:Prerequisite ⠍ An electrohydrolysis pretreatment for anaerobic digestion of lignocellulose waste material,abstract:Bioresource Technology, 235 (2017) 274-280. doi:10.1016/j.biortech.2017.03.137"
1761,"title:Present and future solutions of waste management in a candied fruit&nbsp;-&nbsp;jam factory: Optimized anaerobic digestion for on site energy&nbsp;production,abstract:Journal of Cleaner Production, 159 (2017) 26-37. doi:10.1016/j.jclepro.2017.05.048"
1762,"title:Pretreatment methods to enhance anaerobic digestion of organic solid waste,abstract:Applied Energy, 123 (2014) 143-156. doi:10.1016/j.apenergy.2014.02.035"
1763,"title:Pretreatment methods to enhance anaerobic digestion of organic solid waste,abstract:Applied Energy, 123 (2014) 143-156. doi:10.1016/j.apenergy.2014.02.035"
1764,"title:Pretreatment of agricultural biomass for anaerobic digestion_ Current state and challenges,abstract:Bioresource Technology, 245 (2018) 1194-1205. doi:10.1016/j.biortech.2017.08.182"
1765,"title:Pretreatment technologies for anaerobic digestion of lignocelluloses and toxic feedstocks,abstract:Bioresource Technology, 304 (2020) 122998. doi:10.1016/j.biortech.2020.122998"
1766,"title:Prevalence and persistence of potentially pathogenic and antibiotic resistant bacteria during anaerobic digestion treatment of cattle manure,abstract:BIORESOURCE TECHNOLOGY, 153 (2014) 284-291. doi:10.1016/j.biortech.2013.12.007"
1767,"title:Prevalence and persistence of potentially pathogenic and antibiotic resistant bacteria during anaerobic digestion treatment of cattle manure,abstract:BIORESOURCE TECHNOLOGY, 153 (2014) 284-291. doi:10.1016/j.biortech.2013.12.007"
1768,"title:Priority and emerging pollutants in sewage sludge and fate during sludge treatment,abstract:WASTE MANAGEMENT, Corrected proof. doi:10.1016/j.wasman.2014.03.028"
1769,"title:Probabilistic simulation of biogas production from anaerobic co-digestion using Anaerobic Digestion Model No. 1: A case study on agricultural residue,abstract:Biochemical Engineering Journal, 192 (2023) 108810. doi:10.1016/j.bej.2023.108810"
1770,"title:Process characteristics, inhibition factors and methane yields of anaerobic digestion process, with particular focus on microalgal biomass fermentation,abstract:Renewable and Sustainable Energy Reviews, 34 + (2014) 491-500. doi:10.1016/j.rser.2014.03.041"
1771,"title:Process characteristics, inhibition factors and methane yields of anaerobic digestion process, with particular focus on microalgal biomass fermentation,abstract:Renewable and Sustainable Energy Reviews, 34 + (2014) 491-500. doi:10.1016/j.rser.2014.03.041"
1772,"title:Process performance and microbial interaction in two-stage continuously stirred tank reactors for sludge anaerobic digestion operated at different temperatures,abstract:Biochemical Engineering Journal, 161 (2020) 107682. doi:10.1016/j.bej.2020.107682"
1773,"title:Process performance and modelling of anaerobic digestion using source-sorted organic household waste,abstract:Bioresource Technology, 247 (2017) 486-495. doi:10.1016/j.biortech.2017.09.122"
1774,"title:Process simulation and modeling: Anaerobic digestion of complex organic matter,abstract:Biomass and Bioenergy, 93 (2016) 158-167. doi:10.1016/j.biombioe.2016.07.018"
1775,"title:Processing anaerobic sludge for extended storage as anaerobic digester inoculum,abstract:BIORESOURCE TECHNOLOGY, 166 (2014) 201-210. doi:10.1016/j.biortech.2014.05.006"
1776,"title:Processing of mycotoxin contaminated waste streams through anaerobic digestion,abstract:Waste Management, 71 (2018) 122-128. doi:10.1016/j.wasman.2017.09.039"
1777,"title:Processing of mycotoxin contaminated waste streams through anaerobic digestion,abstract:Waste Management, 71 (2018) 122-128. doi:10.1016/j.wasman.2017.09.039"
1778,"title:Production of biochar from crop residues and its application for anaerobic digestion,abstract:Bioresource Technology, 363 (2022) 127970. doi:10.1016/j.biortech.2022.127970"
1779,"title:Profiles and drivers of antibiotic resistance genes distribution in one-stage and two-stage sludge anaerobic digestion based on microwave-H2O2 pretreatment,abstract:Bioresource Technology, 241 (2017) 573-581. doi:10.1016/j.biortech.2017.05.157"
1780,"title:Mathematical modelling of anaerobic digestion of biomass and waste: Power and limitations,abstract:Progress in Energy and Combustion Science, 39 (2013) 383-402. doi:10.1016/j.pecs.2013.03.003"
1781,"title:Progress in inhibition mechanisms and process control of intermediates and by-products in sewage sludge anaerobic digestion,abstract:Renewable and Sustainable Energy Reviews, 58 + (2016) 429-438. doi:10.1016/j.rser.2015.12.261"
1782,"title:Progress in inhibition mechanisms and process control of intermediates and by-products in sewage sludge anaerobic digestion,abstract:Renewable and Sustainable Energy Reviews, 58 + (2016) 429-438. doi:10.1016/j.rser.2015.12.261"
1783,"title:Promoting the overall energy profit through using the liquid hydrolysate during microwave hydrothermal pretreatment of wheat straw as co-substrate for anaerobic digestion,abstract:Science of the Total Environment, 857 (2023) 159463. doi:10.1016/j.scitotenv.2022.159463"
1784,"title:Proposed protocol for rate-limiting step determination during anaerobic digestion of complex substrates,abstract:Bioresource Technology, 361 (2022) 127660. doi:10.1016/j.biortech.2022.127660"
1785,"title:Protease cell wall degradation of Chlorella vulgaris: effect on methane production,abstract:BIORESOURCE TECHNOLOGY, Accepted manuscript. doi:10.1016/j.biortech.2014.08.091"
1786,"title:Proteomic profiling of robust acetoclastic methanogen in chrysene-altered anaerobic digestion: Global dissection of enzymes,abstract:Water Research, 233 (2023) 119817. doi:10.1016/j.watres.2023.119817"
1787,"title:Psychrophilic anaerobic digestion: A critical evaluation of microorganisms and enzymes to drive the process,abstract:Renewable and Sustainable Energy Reviews, 161 (2022) 112394. doi:10.1016/j.rser.2022.112394"
1788,"title:Psychrophilic anaerobic digestion: A critical evaluation of microorganisms and enzymes to drive the process,abstract:Renewable and Sustainable Energy Reviews, 161 (2022) 112394. doi:10.1016/j.rser.2022.112394"
1789,"title:Psychrophilic dry anaerobic digestion of dairy cow feces: Long-term operation,abstract:Waste Management, 36 (2015) 86-92. doi:10.1016/j.wasman.2014.10.032"
1790,"title:Psychrophilic dry anaerobic digestion of dairy cow feces: Long-term operation,abstract:Waste Management, 36 (2015) 86-92. doi:10.1016/j.wasman.2014.10.032"
1791,"title:Psychrophilic dry anaerobic digestion of dairy cow feces: Long-term operation,abstract:Waste Management, 36 (2015) 86-92. doi:10.1016/j.wasman.2014.10.032"
1792,"title:Optimal management of substrates in anaerobic co-digestion: An ant colony algorithm approach,abstract:Waste Management, 50 (2016) 49-54. doi:10.1016/j.wasman.2016.01.047"
1793,"title:Pyrolysis of the anaerobic digestion solid by-product: Characterization of digestate decomposition and screening of the biochar use as soil amendment and as additive in anaerobic digestion,abstract:Energy Conversion and Management, 277 (2023) 116658. doi:10.1016/j.enconman.2023.116658"
1794,"title:Pyrolysis of wastewater biosolids significantly reduces estrogenicity,abstract:Journal of Hazardous Materials, 317 (2016) 579-584. doi:10.1016/j.jhazmat.2016.05.088"
1795,"title:Quantifying soil N2O emissions from soil and anaerobically digested swine manure, nitrification and denitrification using 15N isotope labeling method,abstract:Environ Sci Pollut Res, doi:10.1007/s11356-021-12981-z"
1796,"title:Quantifying soil N2O emissions from soil and anaerobically digested swine manure, nitrification and denitrification using 15N isotope labeling method,abstract:Environ Sci Pollut Res, doi:10.1007/s11356-021-12981-z"
1797,"title:Quantifying the percentage of methane formation via acetoclastic and syntrophic acetate oxidation pathways in anaerobic digesters,abstract:Waste Management, 71 (2018) 749-756. doi:10.1016/j.wasman.2017.04.005"
1798,"title:Quantifying the percentage of methane formation via acetoclastic and syntrophic acetate oxidation pathways in anaerobic digesters,abstract:Waste Management, 71 (2018) 749-756. doi:10.1016/j.wasman.2017.04.005"
1799,"title:Quantitative Metaproteomics Highlight the Metabolic Contributions of Uncultured Phylotypes in a Thermophilic Anaerobic Digester,abstract:Appl Environ Microbiol 2017.83:e01955-16"
